2025/04/06 19:35:087594 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81613]at fd=14 - TcpConnection.cc:52
2025/04/06 19:35:087604 INFO  func =>fd14events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:087611 INFO  HTTP Connection UP: 127.0.0.1:39836 - main.cc:96
2025/04/06 19:35:087616 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:087632 INFO  TcpConnection::handleClose fd=15state=3 - TcpConnection.cc:241
2025/04/06 19:35:087638 INFO  func =>fd15events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:087643 INFO  HTTP Connection DOWN: 127.0.0.1:39824 - main.cc:98
2025/04/06 19:35:087648 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81611 - TcpServer.cc:114
2025/04/06 19:35:087656 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:087715 INFO  removeChannel fd=15 - EPollPoller.cc:102
2025/04/06 19:35:087722 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81611]at fd=15state=0 - TcpConnection.cc:58
2025/04/06 19:35:087733 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:087738 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:087740 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:087752 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:087755 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81614]from %s127.0.0.1:39848 - TcpServer.cc:75
2025/04/06 19:35:087763 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81614]at fd=15 - TcpConnection.cc:52
